Date,Hammer Time,Entry Time,Exit Time,Entry Price,Exit Price,SL,Target,Status
2017-08-08,2017-08-08 10:15:00,2017-08-08 10:20:00,2017-08-08 11:15:00,24596.6,24672.949999999997,24545.7,24672.949999999997,TARGET HIT
2017-08-16,2017-08-16 13:40:00,2017-08-16 14:40:00,2017-08-16 14:55:00,24347.3,24379.1,24326.1,24379.1,TARGET HIT
2017-09-27,2017-09-27 10:15:00,2017-09-27 10:20:00,2017-09-27 10:25:00,24094.0,24055.1,24055.1,24152.350000000002,SL HIT
2017-09-28,2017-09-28 13:20:00,2017-09-28 13:25:00,2017-09-28 14:05:00,23678.1,23748.149999999994,23631.4,23748.149999999994,TARGET HIT
2017-10-12,2017-10-12 15:05:00,2017-10-12 15:10:00,2017-10-12 15:25:00,24348.6,24363.3,24314.3,24400.049999999996,EOD EXIT
2017-10-25,2017-10-25 10:15:00,2017-10-25 10:20:00,2017-10-25 10:55:00,24666.2,24754.25,24607.5,24754.25,TARGET HIT
2017-11-07,2017-11-07 10:25:00,2017-11-07 10:30:00,2017-11-07 13:35:00,25453.3,25398.4,25398.4,25535.649999999994,SL HIT
2017-11-10,2017-11-10 15:15:00,2017-11-10 15:20:00,2017-11-10 15:25:00,25553.2,25516.8,25516.8,25607.800000000003,SL HIT
2017-12-06,2017-12-06 15:15:00,2017-12-06 15:20:00,2017-12-06 15:25:00,24845.8,24845.7,24814.4,24892.899999999994,EOD EXIT
2017-12-13,2017-12-13 14:30:00,2017-12-13 14:35:00,2017-12-13 14:40:00,25030.7,25001.2,25001.2,25074.95,SL HIT
2018-01-25,2018-01-25 14:00:00,2018-01-25 14:05:00,2018-01-25 14:20:00,27389.1,27329.7,27329.7,27478.199999999997,SL HIT
2018-02-01,2018-02-01 14:50:00,2018-02-01 14:55:00,2018-02-01 14:55:00,27358.0,27311.7,27311.7,27427.449999999997,SL HIT
2018-02-06,2018-02-06 10:15:00,2018-02-06 10:20:00,2018-02-06 10:25:00,25077.6,25156.799999999996,25024.8,25156.799999999996,TARGET HIT
2018-02-07,2018-02-07 15:20:00,2018-02-07 15:25:00,2018-02-07 15:25:00,25616.0,25619.3,25558.3,25702.550000000003,EOD EXIT
2018-02-08,2018-02-08 10:25:00,2018-02-08 10:30:00,2018-02-08 10:30:00,25867.3,25899.1,25846.1,25899.1,TARGET HIT
2018-02-09,2018-02-09 10:20:00,2018-02-09 10:25:00,2018-02-09 10:35:00,25480.7,25450.2,25450.2,25526.45,SL HIT
2018-02-15,2018-02-15 13:50:00,2018-02-15 13:55:00,2018-02-15 13:55:00,25460.2,25439.7,25439.7,25490.95,SL HIT
2018-03-13,2018-03-13 10:30:00,2018-03-13 10:35:00,2018-03-13 10:40:00,24973.4,24944.7,24944.7,25016.450000000004,SL HIT
2018-03-14,2018-03-14 14:50:00,2018-03-14 15:05:00,2018-03-14 15:05:00,24870.9,24837.7,24837.7,24920.700000000004,SL HIT
2018-03-16,2018-03-16 15:05:00,2018-03-16 15:20:00,2018-03-16 15:25:00,24507.8,24544.9,24469.2,24565.699999999997,EOD EXIT
2018-04-04,2018-04-04 14:15:00,2018-04-04 14:20:00,2018-04-04 14:35:00,24215.7,24172.7,24172.7,24280.2,SL HIT
2018-04-13,2018-04-13 13:20:00,2018-04-13 13:25:00,2018-04-13 13:45:00,25170.3,25232.1,25129.1,25232.1,TARGET HIT
2018-04-18,2018-04-18 15:15:00,2018-04-18 15:20:00,2018-04-18 15:30:00,25132.6,25119.9,25102.7,25177.449999999997,EOD EXIT
2018-04-23,2018-04-23 10:45:00,2018-04-23 11:00:00,2018-04-23 14:30:00,25004.8,24958.0,24958.0,25075.0,SL HIT
2018-05-15,2018-05-15 10:35:00,2018-05-15 10:40:00,2018-05-15 11:20:00,26887.0,26852.2,26852.2,26939.199999999997,SL HIT
2018-05-22,2018-05-22 10:40:00,2018-05-22 10:45:00,2018-05-22 10:45:00,25891.2,25868.7,25868.7,25924.95,SL HIT
2018-06-04,2018-06-04 13:15:00,2018-06-04 13:20:00,2018-06-04 14:05:00,26393.8,26321.5,26321.5,26502.25,SL HIT
2018-06-05,2018-06-05 11:55:00,2018-06-05 12:15:00,2018-06-05 12:30:00,26273.0,26214.9,26214.9,26360.149999999998,SL HIT
2018-07-18,2018-07-18 13:00:00,2018-07-18 13:05:00,2018-07-18 13:30:00,27026.4,26980.2,26980.2,27095.700000000004,SL HIT
2018-09-11,2018-09-11 14:35:00,2018-09-11 14:40:00,2018-09-11 14:50:00,26925.9,26889.1,26889.1,26981.100000000006,SL HIT
2018-09-24,2018-09-24 10:25:00,2018-09-24 10:30:00,2018-09-24 11:10:00,25357.2,25252.7,25252.7,25513.95,SL HIT
2018-09-25,2018-09-25 11:20:00,2018-09-25 12:25:00,2018-09-25 12:25:00,25125.2,25069.9,25069.9,25208.15,SL HIT
2018-09-26,2018-09-26 10:35:00,2018-09-26 10:40:00,2018-09-26 11:20:00,25398.8,25339.8,25339.8,25487.3,SL HIT
2018-09-28,2018-09-28 12:20:00,2018-09-28 12:25:00,2018-09-28 12:25:00,25222.4,25276.4,25186.4,25276.4,TARGET HIT
2018-10-01,2018-10-01 10:35:00,2018-10-01 10:40:00,2018-10-01 10:55:00,24876.2,24927.050000000003,24842.3,24927.050000000003,TARGET HIT
2018-10-04,2018-10-04 14:25:00,2018-10-04 14:30:00,2018-10-04 14:35:00,24786.5,24740.2,24740.2,24855.949999999997,SL HIT
2018-10-08,2018-10-08 10:35:00,2018-10-08 10:40:00,2018-10-08 10:50:00,24491.2,24576.4,24434.4,24576.4,TARGET HIT
2018-10-26,2018-10-26 14:25:00,2018-10-26 14:30:00,2018-10-26 15:00:00,24515.4,24455.2,24455.2,24605.700000000004,SL HIT
2018-10-31,2018-10-31 14:40:00,2018-10-31 14:50:00,2018-10-31 15:25:00,25116.4,25086.2,25051.4,25213.9,EOD EXIT
2018-11-05,2018-11-05 10:15:00,2018-11-05 10:20:00,2018-11-05 10:30:00,25688.5,25658.8,25658.8,25733.050000000003,SL HIT
2018-11-06,2018-11-06 14:10:00,2018-11-06 14:15:00,2018-11-06 14:20:00,25630.9,25598.6,25598.6,25679.350000000006,SL HIT
2018-11-12,2018-11-12 10:45:00,2018-11-12 11:15:00,2018-11-12 11:15:00,25754.6,25732.6,25732.6,25787.6,SL HIT
2018-11-22,2018-11-22 15:15:00,2018-11-22 15:20:00,2018-11-22 15:25:00,25999.8,26004.3,25947.8,26077.8,EOD EXIT
2018-12-11,2018-12-11 13:50:00,2018-12-11 13:55:00,2018-12-11 13:55:00,26061.4,26031.2,26031.2,26106.700000000004,SL HIT
2018-12-21,2018-12-21 10:30:00,2018-12-21 10:45:00,2018-12-21 11:00:00,27118.2,27039.5,27039.5,27236.25,SL HIT
2018-12-26,2018-12-26 14:10:00,2018-12-26 14:15:00,2018-12-26 14:40:00,26840.5,26950.300000000003,26767.3,26950.300000000003,TARGET HIT
2019-01-09,2019-01-09 14:15:00,2019-01-09 14:20:00,2019-01-09 14:40:00,27532.2,27593.550000000003,27491.3,27593.550000000003,TARGET HIT
2019-01-21,2019-01-21 10:15:00,2019-01-21 10:20:00,2019-01-21 10:40:00,27568.8,27538.9,27538.9,27613.649999999994,SL HIT
2019-01-23,2019-01-23 15:15:00,2019-01-23 15:20:00,2019-01-23 15:25:00,27240.6,27224.3,27189.6,27317.1,EOD EXIT
2019-01-29,2019-01-29 13:30:00,2019-01-29 13:35:00,2019-01-29 13:40:00,26535.9,26510.7,26510.7,26573.700000000004,SL HIT
2019-02-01,2019-02-01 13:05:00,2019-02-01 13:10:00,2019-02-01 13:15:00,27512.3,27473.9,27473.9,27569.899999999994,SL HIT
2019-02-04,2019-02-04 14:20:00,2019-02-04 14:25:00,2019-02-04 14:35:00,27127.6,27179.049999999996,27093.3,27179.049999999996,TARGET HIT
2019-02-26,2019-02-26 15:00:00,2019-02-26 15:05:00,2019-02-26 15:10:00,26985.0,26937.7,26937.7,27055.949999999997,SL HIT
2019-03-13,2019-03-13 10:15:00,2019-03-13 10:20:00,2019-03-13 11:30:00,28550.3,28626.05,28499.8,28626.05,TARGET HIT
2019-03-18,2019-03-18 10:45:00,2019-03-18 10:50:00,2019-03-18 15:25:00,29493.3,29690.699999999997,29361.7,29690.699999999997,TARGET HIT
2019-03-22,2019-03-22 10:45:00,2019-03-22 10:55:00,2019-03-22 11:20:00,29776.4,29708.2,29708.2,29878.700000000004,SL HIT
