Date,Hammer Time,Open,High,Low,Close,Previous 1Hr Fall,Max Move Next 30 Min,SL Hit,SL Hit Time
2017-08-08,2017-08-08 10:15:00,24596.6,24596.6,24545.7,24589.7,343.6,76.7,False,
2017-08-16,2017-08-16 13:40:00,24347.3,24347.3,24326.1,24342.6,259.3,0.0,True,2017-08-16 13:45:00
2017-08-16,2017-08-16 13:50:00,24261.3,24266.7,24248.2,24266.7,243.7,7.5,True,2017-08-16 14:05:00
2017-09-27,2017-09-27 10:15:00,24078.8,24094.0,24055.1,24087.8,253.0,9.1,True,2017-09-27 10:25:00
2017-09-28,2017-09-28 13:20:00,23663.3,23678.1,23631.4,23674.9,206.2,59.7,False,
2017-10-25,2017-10-25 10:15:00,24664.8,24666.2,24607.5,24645.9,554.5,73.6,False,
2017-11-07,2017-11-07 10:25:00,25433.1,25453.3,25398.4,25447.8,227.0,42.0,False,
2017-11-07,2017-11-07 10:45:00,25470.1,25471.6,25448.8,25467.8,215.9,24.4,True,2017-11-07 11:15:00
2017-12-13,2017-12-13 14:30:00,25027.2,25030.7,25001.2,25020.3,315.5,12.7,True,2017-12-13 14:40:00
2017-12-13,2017-12-13 14:45:00,24994.1,24995.0,24955.6,24985.5,311.1,53.7,False,
2018-01-25,2018-01-25 14:00:00,27377.6,27389.1,27329.7,27364.2,299.3,64.9,True,2018-01-25 14:25:00
2018-02-01,2018-02-01 14:50:00,27344.6,27358.0,27311.7,27358.0,266.7,4.3,True,2018-02-01 15:00:00
2018-02-06,2018-02-06 10:15:00,25061.8,25077.6,25024.8,25073.2,285.4,144.6,False,
2018-02-06,2018-02-06 14:05:00,25730.2,25738.4,25649.4,25734.7,500.1,404.1,False,
2018-02-08,2018-02-08 10:25:00,25864.9,25867.3,25846.1,25859.6,209.8,189.1,False,
2018-02-08,2018-02-08 14:30:00,25881.7,25906.3,25843.2,25900.9,247.4,95.3,False,
2018-02-09,2018-02-09 10:20:00,25477.3,25480.7,25450.2,25471.3,219.2,19.7,True,2018-02-09 10:35:00
2018-02-15,2018-02-15 13:50:00,25456.0,25460.2,25439.7,25451.7,247.2,0.0,True,2018-02-15 13:55:00
2018-03-13,2018-03-13 10:30:00,24963.2,24973.4,24944.7,24969.8,223.7,18.0,True,2018-03-13 10:40:00
2018-03-13,2018-03-13 14:05:00,24660.6,24679.6,24605.2,24671.7,398.0,50.0,False,
2018-03-14,2018-03-14 14:50:00,24865.4,24870.9,24837.7,24857.5,246.2,0.0,True,2018-03-14 14:55:00
2018-04-04,2018-04-04 14:15:00,24213.7,24215.7,24172.7,24215.7,265.3,24.1,True,2018-04-04 14:35:00
2018-04-13,2018-04-13 13:20:00,25167.7,25170.3,25129.1,25159.5,244.8,88.9,False,
2018-04-23,2018-04-23 10:45:00,24996.1,25004.8,24958.0,25004.0,244.0,20.4,False,
2018-05-15,2018-05-15 10:35:00,26885.2,26887.0,26852.2,26877.2,343.9,49.0,False,
2018-05-15,2018-05-15 10:45:00,26894.3,26896.9,26865.7,26895.9,264.8,30.3,True,2018-05-15 11:15:00
2018-05-15,2018-05-15 12:10:00,26703.1,26722.3,26670.7,26715.9,208.5,32.2,False,
2018-05-15,2018-05-15 14:45:00,26494.6,26501.9,26457.8,26483.3,215.1,82.6,False,
2018-05-22,2018-05-22 10:40:00,25889.5,25891.2,25868.7,25890.7,204.2,0.0,True,2018-05-22 10:45:00
2018-06-04,2018-06-04 13:15:00,26392.1,26393.8,26321.5,26385.6,214.6,49.2,False,
